cell_id,x,y,z,nearest_twin_id,morphological_distance
210,1192,721,100,97,1571.473617372071
211,940,770,77,254,3834.9425789801608
212,1055,760,168,576,1380.0579463329739
213,1291,764,151,209,1796.449857011186
214,1283,767,77,285,1671.162642772129
215,828,784,118,115,2002.6244056308349
216,1190,823,62,296,2224.561110530455
217,766,836,121,215,2209.2991629141716
218,798,839,201,83,1382.6492727100308
219,1357,833,30,239,2413.698109330269
220,1068,852,76,97,1450.1409262436594
221,1351,848,114,421,1667.5491641096285
222,1239,843,124,579,1139.2123987821499
223,746,894,80,343,2318.9397890922005
224,1110,869,166,150,2264.9669980160247
225,874,857,146,344,1801.5330010987461
226,944,917,138,561,1863.0162834873834
227,1346,911,65,299,1625.8218770640283
228,987,924,62,236,1301.3354950540088
229,1163,945,57,272,1952.4631809170176
230,1291,921,133,247,1759.3472555711014
231,1076,935,108,151,1199.7059642109189
232,1277,946,163,379,2433.594344928045
233,1189,940,119,222,1602.6016018522205
234,832,966,122,97,1735.3909682191297
235,1011,988,194,246,1282.3496784809056
236,900,983,58,228,1301.3354950540088
237,1349,989,42,227,1979.2544581047277
238,1259,1014,43,435,1587.9961717499305
239,980,1013,63,528,1790.5339054434642
240,1109,1024,59,152,1463.3864447725568
241,1251,1040,120,266,1504.4183503430513
242,843,1057,115,216,2293.966148090233
243,695,1073,120,73,1951.1606693532851
244,1173,1073,104,156,1434.8213732320626
245,955,1083,94,541,1633.5168649141497
246,1103,1095,211,235,1282.3496784809056
247,1343,1074,139,277,1499.3260145074787
248,752,1121,71,267,1388.2424590753358
249,1034,1135,33,264,1458.0685448552572
250,1128,1155,99,229,2018.1734325259895
251,1263,1189,95,279,2676.8980754714294
252,1026,1191,144,277,1595.4036094486303
253,789,1169,126,414,1452.8948614578162
254,1238,1161,29,553,1756.6332775810693
255,824,1158,199,69,1578.3065208937
256,1349,1209,50,537,2372.777637620355
257,955,1190,111,379,1731.4033044162206
258,1227,1183,174,274,1831.2710620195892
259,856,1190,63,553,1369.4864156372316
260,683,1200,214,365,1582.4156701105762
261,1049,1221,70,156,1897.3492398829355
262,870,1229,175,88,1483.2263769184362
263,1161,1297,45,533,2950.1680758312673
264,856,1262,36,249,1458.0685448552572
265,1108,1243,160,153,1491.4464249051857
266,1324,1261,151,241,1504.4183503430513
267,764,1264,79,576,1236.731871617604
268,817,1260,126,253,1492.6469259395915
269,693,1258,133,69,1412.7654155085747
270,1007,1297,49,402,1648.1844760694569
271,690,1332,49,567,1322.0043122295383
272,918,1322,137,229,1952.4631809170176
273,1076,1325,83,299,1531.3590875191908
274,1115,1341,192,258,1831.2710620195892
275,1321,1347,166,230,1789.7258242143664
276,760,1352,160,102,968.840716062864
277,1234,1355,165,247,1499.3260145074787
278,1600,692,69,527,2380.069354592634
279,1440,715,168,536,2340.2607407393225
280,1809,731,51,113,1937.7227828252257
281,1707,749,123,388,2621.746177722906
282,1510,735,31,544,1814.2834882573613
283,1549,770,126,230,1872.382244082849
284,1456,804,53,261,1987.8436834305319
285,1363,814,219,152,1496.615605502329
286,1409,805,86,299,1841.257718761565
287,1694,876,44,457,3116.931750028595
288,1588,856,119,389,1644.260939378387
289,1547,890,26,308,4012.437116961599
290,1407,891,75,374,2104.281082530108
291,1487,891,66,221,1954.2542688537278
292,1627,937,118,444,2743.7260777722868
293,1436,929,184,277,1528.648989453086
294,1937,941,31,297,1357.0494966205727
295,1532,960,136,578,1708.6333792993858
296,1588,1030,64,216,2224.561110530455
297,1860,1006,83,179,1197.900875787995
298,1482,1038,162,389,2361.8894892946596
299,1481,1028,49,273,1531.3590875191908
300,1388,1073,92,252,2272.4827061267683
301,1750,1103,60,496,2342.049178637124
302,1909,1129,78,516,1238.2794767131065
303,1497,1119,76,244,1634.495040150548
304,1891,1140,221,28,1458.5902906929348
305,1572,1152,86,602,2262.0681229238335
306,1466,1143,138,210,2457.1323051689906
307,1550,1154,40,270,2019.0501586124446
308,1437,1226,35,430,3348.0497310943197
309,1577,1268,67,532,2241.756155111846
310,2033,1226,152,605,846.1548970108122
311,1423,1292,134,561,1914.32619846901
312,1746,1328,94,351,2766.409234732269
313,1493,1336,36,305,2492.9711215497773
314,2710,681,30,174,798.2252042133674
315,2098,739,185,159,1049.2755575196106
316,2711,751,122,170,853.5969145595062
317,2091,919,30,186,4962.446110653276
318,2635,854,221,171,916.6307196866969
319,2490,938,132,616,2698.8258189423473
320,2703,887,29,326,730.1105687018813
321,2109,959,210,621,2721.8995406864974
322,2578,1030,83,626,1072.1772692499287
323,2487,1066,50,310,1140.1574548305935
324,2591,1130,148,604,1603.428539196042
325,2368,1211,94,21,4214.348242470361
326,2697,1181,65,320,730.1105687018813
327,2113,1223,28,6,1125.707688847898
328,2613,1351,51,321,3589.35440284594
329,2088,1342,206,604,1188.4439258135512
330,2365,1354,103,15,2129.6223401523107
331,670,1415,93,139,1893.2305982497783
332,285,1426,35,294,1871.9193468648748
333,255,1450,170,477,1986.6018114447513
334,474,1471,104,95,846.0711986677256
335,375,1485,140,342,1475.2775900253514
336,5,1509,164,3,2009.2908559421244
337,200,1562,170,608,1989.5996431747926
338,495,1569,51,196,2195.181043944938
339,593,1546,153,518,1156.3870385673504
340,88,1565,90,302,1415.9512006973175
341,62,1570,174,37,1740.066928437283
342,350,1575,140,335,1475.2775900253514
343,665,1597,58,355,1836.9256898757296
344,674,1611,172,98,1370.293629612603
345,518,1630,170,491,1762.542177502844
346,125,1662,106,340,1500.4106767265478
347,330,1646,206,482,1173.532304139935
348,435,1687,149,352,1821.4697794760036
349,647,1703,166,577,2429.2028618182253
350,573,1711,97,586,1816.7476393482625
351,320,1755,180,342,1504.6298874404113
352,497,1761,229,218,1557.7862309230118
353,133,1804,126,28,1614.3691630862818
354,401,1781,184,92,1619.9532568681964
355,625,1838,90,343,1836.9256898757296
356,602,1811,197,73,1622.3138778282841
357,79,1910,174,9,2617.128485842773
358,265,1891,168,155,1132.7779352114203
359,371,1890,197,68,888.476063231529
360,629,1920,133,576,1207.8200239937116
361,563,1927,178,539,2192.570106568664
362,436,1948,39,453,1776.7056981162416
363,568,1956,53,500,1084.7052858700001
364,494,1960,111,62,995.5566202923529
365,451,2030,158,260,1582.4156701105762
366,1279,1399,69,386,2201.2696803103795
367,852,1391,60,216,2331.545406950987
368,1143,1384,81,400,1678.7456184496866
369,1107,1396,112,368,1751.5137954877252
370,1015,1417,65,579,1505.1370059266073
371,1173,1417,100,380,3159.1744270487275
372,944,1421,122,156,1558.9101904636907
373,1350,1441,33,421,3128.5603085108737
374,1325,1449,133,425,1796.5978084785884
375,942,1462,75,430,2135.39797252944
376,841,1494,106,299,2023.8198939560507
377,1102,1465,67,409,1930.6320167614417
378,1043,1478,140,446,1721.9196713064957
379,905,1493,164,257,1731.4033044162206
380,1219,1516,121,371,3159.1744270487275
381,1154,1497,190,536,2260.0099192937914
382,757,1523,142,360,1319.5266183648953
383,1268,1525,38,384,1663.6760430758384
384,1142,1543,44,383,1663.6760430758384
385,899,1528,106,273,1865.4100778817256
386,1035,1554,101,366,2201.2696803103795
387,1353,1562,71,425,2049.0285531346876
388,744,1572,235,137,1963.5552328979736
389,852,1602,146,548,1485.971796955532
390,722,1620,44,267,1467.5250495559185
391,1050,1698,51,405,1847.6688229838724
392,1318,1638,56,366,2481.0889329286997
393,809,1644,94,254,1811.7269564755468
394,936,1663,71,578,2038.2879947182769
395,1137,1660,89,425,1969.3597573724298
396,752,1682,156,407,1977.3591160083201
397,1142,1793,89,368,2424.436140948204
398,1236,1682,122,536,2158.0209793498752
399,1356,1700,74,369,1921.5296447437152
400,1277,1687,114,368,1678.7456184496866
401,723,1718,107,563,1795.8323211520108
402,855,1736,56,270,1648.1844760694569
403,698,1751,52,208,1641.4535040216738
404,948,1754,54,442,1883.845141418445
405,1340,1802,52,391,1847.6688229838724
406,936,1800,112,266,1589.9898924681418
407,800,1803,189,396,1977.3591160083201
408,1257,1855,153,561,2051.885495023514
409,1002,1836,74,377,1930.6320167614417
410,711,1837,130,144,1700.0950162622578
411,1219,1898,67,557,1753.797630230524
412,816,1900,50,411,2378.300203964009
413,935,1905,68,415,1713.738503088865
414,699,1904,208,253,1452.8948614578162
415,808,1949,122,578,1691.7246526782255
416,1330,1938,55,238,2070.8940139238953
417,750,1930,137,548,1846.3454388517573
418,1079,1944,62,431,1814.6602304974933
419,684,1972,170,384,1826.903267083083
420,1186,1959,193,234,2102.4552628076312
421,1061,1956,109,273,1591.3071444453212
422,766,1971,71,426,2066.9201523356614
423,1273,1966,114,282,2379.809262484345
424,985,1993,37,384,1839.7857884511518
425,1012,2001,121,374,1796.5978084785884
426,1158,2017,205,422,2066.9201523356614
427,969,2016,99,213,2005.053968875738
428,915,2034,126,557,1655.0286111635623
429,1166,2032,49,431,1694.7542964822983
430,1092,2036,54,442,1764.0218353302814
431,1207,2034,85,429,1694.7542964822983
432,1519,1400,113,589,2628.038127826412
433,1409,1394,56,378,1925.8004132492622
434,1735,1428,150,199,1381.6241497974186
435,1403,1457,126,238,1587.9961717499305
436,1417,1477,44,227,2044.3974127778042
437,1583,1471,173,32,1146.6316202779005
438,1640,1484,87,205,1890.520405526879
439,1779,1543,62,609,1611.4032110616133
440,1535,1582,38,455,3582.046059598014
441,1799,1553,199,10,1321.0861565731805
442,1423,1572,42,430,1764.0218353302814
443,1430,1568,165,130,1396.2308065763907
444,1406,1656,120,449,2571.033435679972
445,1386,1658,220,59,1618.99233866463
446,1426,1676,49,378,1721.9196713064957
447,1493,1694,86,602,3171.4364592771003
448,1582,1696,26,217,2839.997632118147
449,1412,1713,97,389,2514.777480611103
450,1596,1793,125,514,3016.48357077348
451,1871,1784,183,180,1122.6420064334245
452,1535,1818,31,157,2983.872196099757
453,1392,1808,199,100,1058.0761216534793
454,1500,1830,135,77,1884.4799361685261
455,1459,1864,35,298,2638.3929009987064
456,1644,1891,69,454,3158.823008937535
457,1570,1934,39,600,2511.459415309169
458,2024,1920,104,322,1083.0402597827665
459,1371,1943,155,130,1420.6107773693193
460,1931,1973,169,477,3397.6729992835003
461,1704,1968,73,111,2631.691455206602
462,1401,2032,62,595,1701.4103504349969
463,2651,1398,59,321,4332.352524487406
464,2347,1408,32,604,2068.2421081647713
465,2145,1469,73,612,1634.1345210413303
466,2481,1549,72,627,653.3638802542853
467,2660,1584,76,161,1032.4995794596184
468,2351,1639,136,469,451.11605320203046
469,2222,1691,115,468,451.11605320203046
470,2352,1715,186,161,770.9263181287829
471,2482,1753,26,465,2345.489283910252
472,2678,1803,107,173,821.0456524146509
473,2494,1927,52,466,791.0297581013185
474,2284,1939,138,468,558.2557820248484
475,2226,2015,42,29,1142.058316405685
476,2646,2019,90,603,2990.2626943374066
477,233,2067,144,333,1986.6018114447513
478,531,2051,100,500,1190.3171750704732
479,142,2129,79,505,1641.8239539431765
480,301,2087,86,49,1770.3760526051371
481,592,2079,149,504,1208.6279756150943
482,312,2088,217,497,816.8880891777561
483,533,2130,65,510,1167.9079733978704
484,62,2166,138,340,1636.4400229937714
485,585,2175,115,567,1000.455690065268
486,29,2185,204,201,1004.2809009117145
487,522,2190,185,76,1286.5711285464217
488,249,2240,109,499,1621.6701860504697
489,20,2286,160,23,939.4178579655871
490,94,2285,221,25,1690.9058932133796
491,564,2293,35,95,1500.8676004653355
492,561,2286,189,518,1115.8782752258087
493,633,2323,122,243,2307.6614268370495
494,497,2346,82,334,1171.3216640513667
495,107,2358,197,44,1392.8226149881145
496,537,2364,229,506,1825.9796654548722
497,319,2353,211,482,816.8880891777561
498,368,2382,40,438,2095.831703771506
499,220,2402,111,505,1204.827300867815
500,623,2401,56,363,1084.7052858700001
501,156,2440,63,333,2823.038504113524
502,49,2436,140,6,1671.8856295681048
503,543,2436,140,500,1331.6390166539213
504,603,2455,107,481,1208.6279756150943
505,239,2463,157,499,1204.827300867815
506,576,2474,230,496,1825.9796654548722
507,415,2516,157,81,1806.4989592740808
508,215,2534,128,505,1451.3338501631224
509,551,2533,99,586,1980.6367917595896
510,611,2549,57,483,1167.9079733978704
511,354,2542,34,33,1761.222916873642
512,565,2554,154,510,1285.5811112996
513,475,2597,113,443,2154.2791767459776
514,284,2618,139,450,3016.48357077348
515,267,2600,44,342,1812.9752924193454
516,123,2617,61,302,1238.2794767131065
517,52,2601,189,203,1883.7705174485247
518,578,2601,191,492,1115.8782752258087
519,177,2635,173,36,1607.2075611126215
520,361,2644,191,202,1349.5148938283128
521,661,2666,96,149,3400.5442913709117
522,508,2646,207,71,1406.7510827977414
523,473,2668,39,608,1955.2621966043016
524,305,2699,42,40,1403.8199655434853
525,498,2702,177,524,2524.174200528472
526,100,2704,175,38,2095.964445412658
527,1333,2056,54,252,1791.9183101721715
528,822,2052,64,152,1622.9866127656585
529,715,2060,60,360,1509.1744423182192
530,724,2043,157,142,1744.7760166872786
531,1162,2050,159,299,1994.8630806877245
532,738,2103,102,246,1915.6502991820573
533,1047,2131,154,263,2950.1680758312673
534,908,2078,59,156,1608.6852895423478
535,1023,2114,45,389,1637.7650879051635
536,1166,2126,115,252,2114.246220546719
537,1289,2139,101,295,2005.8972012209877
538,916,2156,44,428,1792.5676038782008
539,1252,2129,228,130,1781.9865810893864
540,1216,2158,75,266,1759.0665006443546
541,831,2160,79,581,1345.9217692782174
542,1329,2170,48,374,1807.8651429903705
543,864,2170,127,563,1218.9498418101045
544,1106,2199,43,282,1814.2834882573613
545,758,2237,48,538,2108.139598287951
546,749,2213,134,148,1156.4883983933212
547,989,2254,67,78,2942.7010814498103
548,1291,2283,60,389,1485.971796955532
549,681,2261,66,248,1742.72189066305
550,1153,2266,100,153,1723.8639350198653
551,829,2287,188,150,1636.2504504397884
552,1162,2276,70,273,2256.8899358517565
553,862,2287,98,259,1369.4864156372316
554,702,2290,190,80,1810.1673941330541
555,811,2312,68,207,2024.0608263940605
556,1117,2369,74,391,2829.623021441431
557,1233,2350,133,389,1600.660129113378
558,994,2342,138,231,1364.5194780997588
559,921,2342,167,528,1645.2880428437898
560,751,2363,197,94,1749.3037586705464
561,1008,2366,71,152,1583.4292960104299
562,951,2372,43,563,1423.1796131201656
563,888,2382,109,543,1218.9498418101045
564,789,2385,135,207,1540.8390102594938
565,1266,2405,65,152,1735.9868959703056
566,1289,2405,194,539,2339.368351077206
567,735,2443,51,485,1000.455690065268
568,915,2477,50,551,2152.418685784319
569,1072,2447,104,377,2475.8256188102578
570,881,2477,159,226,2298.3555324197046
571,700,2444,160,576,1575.239124651202
572,1312,2540,63,237,3135.7115374819036
573,730,2497,103,481,1217.1331827982033
574,1189,2503,36,97,1829.4175064318906
575,840,2516,88,360,1582.7549548173183
576,682,2521,149,360,1207.8200239937116
577,833,2516,204,117,1782.8673453309718
578,1085,2560,80,415,1691.7246526782255
579,1014,2527,97,222,1139.2123987821499
580,1236,2572,134,272,2331.3741953287104
581,918,2561,133,541,1345.9217692782174
582,938,2624,40,343,2052.4332025971885
583,826,2567,155,97,1670.6437992663757
584,1007,2576,200,114,1508.010514148849
585,741,2586,186,253,1511.9148998477635
586,739,2604,75,350,1816.7476393482625
587,1158,2625,70,530,2676.785573214713
588,873,2654,128,349,2861.341274879028
589,1113,2651,142,457,2526.099410702083
590,1032,2683,61,521,4715.82055365415
591,837,2694,44,105,2387.2873437899248
592,1227,2703,132,108,2912.4650603343957
593,944,2711,101,594,2175.1555623009413
594,1111,2714,88,593,2175.1555623009413
595,1385,2046,61,462,1701.4103504349969
596,1582,2053,23,448,3166.575055716252
597,1580,2098,106,437,1804.1029188252935
598,1363,2086,172,189,1820.2944638978895
599,1506,2104,29,382,2419.1467752233502
600,1475,2187,78,457,2511.459415309169
601,1379,2210,60,425,2319.121327690608
602,1376,2173,113,305,2262.0681229238335
603,1958,2250,111,26,2491.010723136096
604,2035,2253,187,329,1188.4439258135512
605,1768,2254,178,310,846.1548970108122
606,1721,2284,92,329,1521.2132471571213
607,1378,2356,94,80,2113.1693583065507
608,1616,2342,39,34,1534.403816897419
609,1544,2345,158,27,1324.1875919396145
610,1964,2398,126,197,1301.03449216466
611,1520,2507,107,566,3754.2602511878927
612,1936,2496,152,310,1194.8986988817448
613,1771,2601,171,180,822.4966624911218
614,1490,2631,59,195,2271.8358117913267
615,2023,2654,81,612,1649.105234901564
616,1792,2694,86,319,2698.8258189423473
617,1598,2685,82,183,2263.470777717242
618,2404,2054,122,627,749.1161977157391
619,2300,2104,163,161,572.433781225435
620,2597,2165,77,619,796.9458911997536
621,2111,2271,195,26,2503.3575758906445
622,2254,2279,28,12,1537.8161604206
623,2183,2319,120,469,624.3164510807499
624,2522,2330,215,160,765.234818862452
625,2676,2357,135,2,1851.418797314129
626,2082,2433,179,322,1072.1772692499287
627,2345,2484,56,466,653.3638802542853
628,2504,2567,151,620,944.2376930140869
629,2658,2633,185,615,1815.5242959133034
630,2299,2693,124,326,1017.8095430752395
631,2217,2698,204,162,1550.6676883484654
632,2087,2706,30,320,858.1939734120722
633,2545,2713,93,316,900.8724670861914
